timestamp_ms,x,y,z
1779257916753,0,0,9.8000
1779257916770,0.1000,0,9.9000
1779257916787,0,0,9.7000
1779257916803,0,0,9.7000
1779257916820,0.1000,0,9.8000
1779257916836,0.1000,0,9.8000
1779257916853,0.1000,0,9.7000
1779257916870,0,0,9.9000
1779257916886,0,0,9.7000
1779257916903,0.1000,0,9.8000
1779257916920,0.1000,0,9.8000
1779257916936,0.1000,0,9.7000
1779257916953,0.1000,0,9.7000
1779257916970,0.1000,0,9.9000
1779257916986,0.1000,0,9.8000
1779257917003,0.1000,0,9.8000
1779257917020,0.1000,0,9.7000
1779257917036,0.2000,0,9.8000
1779257917053,0.2000,0,9.7000
1779257917070,0.2000,0,9.8000
1779257917087,0.2000,0.1000,9.8000
1779257917103,0.3000,0.1000,9.7000
1779257917120,0.2000,0.1000,9.7000
1779257917137,0.2000,0.1000,9.8000
1779257917153,0.3000,0,9.8000
1779257917170,0.3000,0,9.7000
1779257917186,0.2000,0,9.8000
1779257917203,0.2000,0,9.8000
1779257917220,0.3000,0,9.8000
1779257917236,0.3000,0.1000,9.8000
1779257917253,0.3000,0.1000,9.8000
1779257917270,0.3000,0,9.8000
1779257917287,0.3000,0.1000,9.8000
1779257917303,0.3000,0.1000,9.8000
1779257917320,0.3000,0.1000,9.8000
1779257917336,0.3000,0.1000,9.8000
1779257917353,0.3000,0.1000,9.8000
1779257917370,0.3000,0.1000,9.8000
1779257917386,0.3000,0.1000,9.8000
1779257917403,0.3000,0.1000,9.8000
1779257917420,0.3000,0.1000,9.8000
1779257917436,0.3000,0.1000,9.8000
1779257917453,0.2000,0.1000,9.9000
1779257917470,0.3000,0.1000,9.8000
1779257917487,0.3000,0.1000,9.8000
1779257917503,0.3000,0.1000,9.9000
1779257917520,0.2000,0.1000,9.8000
1779257917537,0.2000,0.1000,9.8000
1779257917553,0.3000,0.1000,9.9000
1779257917570,0.2000,0.1000,9.9000
1779257917587,0.2000,0.1000,9.8000
1779257917603,0.2000,0.1000,9.9000
1779257917620,0.2000,0.1000,9.8000
1779257917636,0.2000,0.1000,9.9000
1779257917653,0.2000,0.1000,9.9000
1779257917670,0.2000,0.1000,9.9000
1779257917686,0.2000,0.1000,9.8000
1779257917703,0.2000,0.1000,9.9000
1779257917720,0.2000,0.1000,9.9000
1779257917736,0.2000,0.1000,9.9000
1779257917753,0.2000,0.1000,9.9000
1779257917770,0.2000,0.1000,9.8000
1779257917786,0.1000,0.1000,9.9000
1779257917803,0.1000,0.1000,9.9000
1779257917820,0.1000,0.1000,9.9000
1779257917836,0.1000,0.1000,9.8000
1779257917853,0.1000,0.1000,9.8000
1779257917870,0.1000,0.1000,9.8000
1779257917886,0.2000,0.1000,9.9000
1779257917903,0.3000,0.2000,9.4000
1779257917920,0.3000,0.2000,9.4000
1779257917936,0.2000,0,13.5000
1779257917953,0.3000,0.3000,7.4000
1779257917970,0.6000,-0.1000,10.2000
1779257917986,-0.1000,0.4000,9.4000
1779257918003,-0.2000,0.2000,11.0000
1779257918020,0.3000,0.1000,9.3000
1779257918036,0,0.2000,11.3000
1779257918053,0.2000,0.2000,9.7000
1779257918070,0.3000,0,9.4000
1779257918087,0.6000,0.2000,10.0000
1779257918103,0.1000,0.1000,9.5000
1779257918120,0.1000,0.1000,9.5000
1779257918137,0.3000,0.1000,10.7000
1779257918153,0.6000,0.1000,9.9000
1779257918170,0,0.1000,9.4000
1779257918187,0.1000,0.1000,9.7000
1779257918203,0.2000,0,10.6000
1779257918220,0.3000,0,9.9000
1779257918237,-0.1000,0.1000,9.8000
1779257918253,0.1000,0,10.3000
1779257918270,0.4000,0.1000,9.6000
1779257918287,0.3000,0.1000,9.9000
1779257918303,0.1000,0.1000,9.9000
1779257918320,0.1000,0.1000,9.9000
1779257918336,0.4000,0.1000,10.2000
1779257918353,0.2000,0.1000,9.9000
1779257918370,0,0.1000,9.8000
1779257918386,0.4000,0.1000,9.8000
1779257918403,1.0000,0,7.0000
1779257918420,-0.9000,0,15.5000
1779257918437,-0.9000,0,15.5000
1779257918453,-1.0000,-0.3000,8.6000
1779257918470,-1.5000,0.4000,11.3000
