timestamp_ms,accel_x,accel_y,accel_z
0,56,221,-4006
19,75,236,-4004
39,57,213,-4003
59,49,206,-4000
80,63,219,-3994
99,47,211,-3997
119,67,218,-3998
139,60,222,-4008
159,49,218,-4009
180,45,212,-4018
199,42,206,-4017
219,39,210,-4006
239,43,200,-4006
259,26,201,-3996
280,43,195,-3997
299,44,201,-3996
319,47,188,-4008
339,38,192,-3996
359,46,170,-4023
379,45,188,-3993
399,38,205,-4011
419,16,204,-4012
439,12,204,-4025
459,35,219,-4010
479,32,218,-4015
499,44,241,-4012
519,30,224,-4028
540,40,231,-4023
559,13,233,-4020
580,28,226,-4013
599,13,227,-4017
619,17,225,-4022
639,32,230,-4020
659,26,235,-4020
679,26,232,-4018
699,23,244,-4020
721,27,233,-4018
739,14,240,-4028
759,32,238,-4026
779,59,246,-4033
799,37,228,-4029
819,45,236,-4036
840,46,235,-4033
859,48,230,-4035
880,36,239,-4028
900,41,252,-4030
919,40,228,-4029
939,31,228,-4029
959,23,238,-4025
979,35,232,-4024
999,21,233,-4035
1021,28,232,-4026
1039,43,246,-4043
1059,32,231,-4035
1079,15,234,-4024
1099,33,240,-4033
1119,28,227,-4030
1139,26,229,-4028
1159,41,243,-4033
1180,32,233,-4033
1200,15,224,-4011
1219,33,219,-4029
1239,26,228,-4029
1259,32,229,-4015
1279,31,218,-4028
1299,46,234,-4020
1319,44,226,-4028
1339,36,221,-4018
1359,34,220,-4017
1379,33,219,-4028
1399,32,223,-4021
1419,38,230,-4017
1440,35,215,-4022
1471,40,215,-4028
1479,38,224,-4021
1499,36,212,-4015
1519,35,205,-4014
1539,33,212,-4013
1559,45,226,-4010
1579,21,216,-4005
1599,42,220,-4016
1619,39,221,-3998
1639,34,210,-4015
1659,40,228,-4007
1679,57,229,-4015
1699,39,207,-4011
1719,32,219,-4016
1741,44,224,-4008
1759,45,221,-3999
1779,39,215,-4010
1799,39,230,-4011
1819,51,223,-4004
1839,38,222,-4020
1859,36,224,-4004
1879,44,228,-4009
1899,39,222,-4007
1920,32,222,-4008
1939,51,221,-4017
1959,39,220,-4011
1979,39,218,-4035
1999,31,221,-4031
2019,31,229,-4022
2040,33,230,-4026
2060,46,222,-4014
2079,50,225,-4026
2099,30,222,-4018
2119,42,219,-4020
2139,35,229,-4014
2159,35,213,-4014
2179,35,221,-4029
2199,38,217,-4027
2220,58,193,-4003
2240,34,202,-4011
2259,36,206,-4029
2279,32,211,-4033
2299,31,225,-4034
2319,22,224,-4023
2339,42,232,-4011
2359,28,232,-4038
2379,28,238,-4030
2400,30,232,-4029
2419,34,233,-4021
2439,37,225,-4017
2459,42,229,-4026
2479,29,227,-4011
2499,35,223,-4018
2519,39,229,-4025
2539,32,230,-4016
2559,30,225,-4016
2579,18,235,-4027
2599,39,235,-4034
2619,34,232,-4026
2639,37,230,-4019
2659,21,230,-4031
2679,31,221,-4030
2699,32,229,-4038
2719,47,239,-4025
2740,33,224,-4037
2759,27,225,-4020
2780,30,217,-4024
2799,31,216,-4023
2819,21,229,-4013
2839,31,217,-4010
2859,27,231,-4014
2880,30,224,-4033
2899,33,229,-4024
2919,33,218,-4021
2940,27,208,-4027
2959,27,231,-4023
2979,54,229,-4022
2999,36,222,-4028
3019,33,230,-4014
3039,31,217,-4013
3059,44,216,-4008
3079,34,214,-4016
3099,49,217,-4016
3120,52,228,-4007
3139,41,208,-4023
3159,45,212,-4013
3180,48,219,-4031
3200,40,216,-4017
3219,48,214,-4019
3240,42,222,-4028
3259,45,216,-4019
3279,45,226,-4014
3301,41,223,-4007
3319,46,212,-4004
3339,41,208,-4005
3359,42,216,-4019
3379,41,222,-4012
3399,46,225,-4012
3420,46,216,-4009
3440,34,212,-3997
3459,26,211,-4010
3479,35,217,-4008
3499,43,217,-4023
3519,39,221,-4025
3539,39,220,-4013
3559,36,224,-4017
3580,42,208,-4033
3600,39,216,-4010
3619,31,218,-4010
3639,45,239,-4004
3659,36,212,-4010
3679,44,228,-4008
3699,36,222,-4011
3719,43,222,-4023
3740,32,224,-4024
3759,38,227,-4026
3779,30,239,-4018
3799,35,238,-4032
3819,27,218,-4033
3839,27,230,-4027
3859,34,223,-4033
3880,37,227,-4034
3899,45,233,-4024
3919,39,234,-4013
3939,22,231,-4032
3959,34,237,-4027
3979,26,228,-4032
3999,32,225,-4024
4019,28,228,-4031
4039,34,235,-4028
4059,31,213,-4025
4079,36,235,-4036
4099,28,232,-4020
4119,37,227,-4031
4140,29,217,-4040
4159,42,236,-4016
4179,33,243,-4031
4199,38,233,-4005
4219,39,220,-4014
4239,32,219,-4023
4259,33,229,-4017
4279,33,215,-4035
4299,38,224,-4013
4320,33,227,-4023
4340,26,229,-4018
4359,33,229,-4022
4379,36,224,-4012
4399,25,214,-4018
4419,44,225,-4018
4441,32,215,-4013
4459,20,217,-4029
4479,26,230,-4009
4500,30,221,-4011
4520,27,210,-4031
