timestamp_ms,x,y,z
1779258039095,0.2000,0.1000,9.8000
1779258039111,0.2000,0.1000,9.8000
1779258039128,0.2000,0.1000,9.8000
1779258039145,0.2000,0.1000,9.8000
1779258039161,0.2000,0.1000,9.8000
1779258039178,0.2000,0.1000,9.8000
1779258039195,0.2000,0.1000,9.8000
1779258039211,0.2000,0.1000,9.8000
1779258039228,0.2000,0.1000,9.8000
1779258039245,0.2000,0.1000,9.8000
1779258039261,0.2000,0.1000,9.8000
1779258039278,0.2000,0.1000,9.8000
1779258039295,0.2000,0.1000,9.9000
1779258039311,0.2000,0.1000,9.9000
1779258039328,0.2000,0.1000,9.9000
1779258039345,0.2000,0.1000,9.9000
1779258039361,0.2000,0.1000,9.9000
1779258039378,0.2000,0.1000,9.9000
1779258039395,0.2000,0.1000,9.9000
1779258039411,0.2000,0.1000,9.9000
1779258039428,0.2000,0.1000,9.8000
1779258039445,0.2000,0.1000,9.8000
1779258039461,0.2000,0.1000,9.9000
1779258039478,0.2000,0.1000,9.9000
1779258039495,0.2000,0.1000,9.9000
1779258039511,0.2000,0.1000,9.8000
1779258039528,0.2000,0.1000,9.9000
1779258039545,0.2000,0.1000,9.9000
1779258039561,0.2000,0.1000,9.9000
1779258039582,0.2000,0.1000,9.9000
1779258039595,0.2000,0.1000,9.9000
1779258039611,0.2000,0.1000,9.9000
1779258039628,0.2000,0.1000,9.8000
1779258039645,0.2000,0.1000,9.8000
1779258039661,0.2000,0.1000,9.8000
1779258039678,0.2000,0.1000,9.9000
1779258039695,0.1000,0.1000,9.8000
1779258039711,0.1000,0.1000,9.8000
1779258039728,0.2000,0.1000,9.8000
1779258039745,0.2000,0.1000,9.8000
1779258039761,0.2000,0.1000,9.8000
1779258039778,0.2000,0.1000,9.8000
1779258039795,0.2000,0.1000,9.8000
1779258039811,0.2000,0.1000,9.9000
1779258039828,0.2000,0.1000,9.8000
1779258039845,0.2000,0.1000,9.9000
1779258039861,0.2000,0.1000,9.9000
1779258039878,0.2000,0.1000,9.9000
1779258039895,0.2000,0.1000,9.9000
1779258039911,0.2000,0.1000,9.9000
1779258039928,0.2000,0.1000,9.8000
1779258039945,0.2000,0.1000,9.9000
1779258039961,0.2000,0.1000,9.9000
1779258039978,0.2000,0.1000,9.9000
1779258039995,0.2000,0.1000,9.9000
1779258040011,0.2000,0.1000,9.9000
1779258040028,0.2000,0.1000,9.8000
1779258040045,0.2000,0.1000,9.9000
1779258040061,0.2000,0.1000,9.9000
1779258040078,0.2000,0.1000,9.9000
1779258040095,0.2000,0.1000,9.9000
1779258040111,0.2000,0.1000,9.9000
1779258040128,0.2000,0.1000,9.9000
1779258040145,0.2000,0.1000,9.9000
1779258040161,0.2000,0.1000,9.9000
1779258040178,0.2000,0.1000,9.9000
1779258040195,0.2000,0.1000,9.9000
1779258040211,0.2000,0.1000,9.9000
1779258040228,0.2000,0.1000,9.9000
1779258040245,0.2000,0.1000,9.9000
