x,y,z
0.2,0.1,9.9
0.2,0.11764705882352941,9.9
0.2,0.16250000000000003,9.9
0.2,0.16249999999999998,9.9
0.2,0.2,9.9
0.2,0.2,9.9
0.2,0.2,9.8
0.2,0.2,9.8
0.2,0.2,9.8
0.2,0.2,9.8
0.2,0.2,9.8
0.2235294117647059,0.2,9.776470588235295
0.3,0.2,9.7
0.3,0.2,9.746153846153845
0.3,0.2,9.71875
0.3,0.2,9.7
0.3,0.2,9.7
0.3411764705882354,0.2,9.7
0.4,0.2,9.7
0.4,0.2,9.7
0.4,0.2,9.7
0.4,0.2,9.7
0.4,0.2,9.7
0.4,0.1375,9.7
0.4,0.1,9.7
0.4,0.17391304347826086,9.7
0.4,0.1,9.7
0.4,0.1,9.7
0.4,0.1,9.7
0.4,0.1,9.7
0.4,0.1,9.6
0.4,0.1,9.6
0.4,0.1,9.6
0.4,0.1,9.6
0.4,0.1,9.6
0.4,0.1,9.6
0.4,0.1,9.576470588235294
0.4,0.1,9.541176470588235
0.4,0.1,9.6
0.4,0.1,9.51764705882353
0.4,0.1,9.6
0.4,0.1,9.581249999999999
0.4,0.1,9.5
0.4,0.1,9.5
0.4,0.1,9.5
0.4,0.1,9.5
0.4,0.1,9.5
0.44117647058823556,0.1,9.541176470588235
0.4375,0.1,9.6
0.4736842105263158,0.1,9.6
0.5,0.1,9.7
0.5,0.1,9.623529411764705
0.5,0.1,9.7
0.5,0.1,9.7
0.5,0.1,9.7
0.5,0.1,9.7
0.5,0.1,9.8
0.5,0.1,9.8
0.5,0.1,9.8
0.5,0.1,9.8
0.5,0.1,9.8
0.5,0.1,9.9
0.5,0.1,9.9
0.4375,0.037500000000000006,9.9
0.4,0.0,9.9
0.4,0.0,9.9
0.4,0.1,9.9
0.4,0.05882352941176432,9.9
0.4,0.0,9.9625
0.31764705882352884,0.0,10.0
0.3,0.09999999999999862,10.0
0.27647058823529425,0.0,10.0
0.2,0.0,10.0
0.2,0.0,10.0
0.2,0.0,10.077777777777778
0.2,0.0,10.1
0.1,0.1,10.1
0.1,0.05882352941176432,10.182352941176472
0.1,0.0,10.175
0.017647058823528877,0.0,10.264705882352942
0.0,0.0,10.2
-0.023529411764706035,0.0,10.2
-0.05882352941176379,0.0,10.241176470588236
-0.06250000000000139,0.0,10.3
-0.1,0.0,10.217647058823529
-0.1,0.0,10.4
-0.2,0.0,10.3
-0.2,0.0,10.3
-0.1375,0.0,10.3
-0.18235294117647113,0.0,10.3
-0.2,0.0,10.3
-0.2,0.0,10.223529411764705
-0.2,0.0,10.3
-0.2,0.0,10.2375
-0.2,0.0,10.282352941176471
-0.2,0.0,10.299999999999999
-0.2,0.0,10.223529411764705
-0.2,0.0,10.258823529411766
-0.2,0.0,10.1375
-0.2,0.0,10.01764705882353
-0.2,0.0,10.2
-0.27647058823529397,0.0,10.076470588235294
-0.2,0.0,10.041176470588237
-0.2,0.0,9.974999999999998
-0.2,0.0,10.064705882352941
-0.2,0.0,9.9
-0.2,0.0,9.923529411764706
-0.1588235294117638,0.0,9.917647058823528
-0.1,0.06250000000000139,9.862500000000002
-0.1,0.1,9.817647058823528
-0.1,0.1,9.8
-0.08095238095238086,0.1,9.8
0.0,0.1,9.8
0.0,0.1,9.737499999999999
0.0,0.1,9.7
0.0,0.1,9.799999999999997
0.02352941176470542,0.1,9.7
0.1,0.1,9.7
0.1,0.16249999999999862,9.7
0.1,0.11764705882353019,9.7
0.2,0.2,9.7
0.2,0.2,9.6
0.2,0.2,9.6
0.2,0.2,9.6
0.2823529411764698,0.2,9.6
0.3,0.2,9.6
0.3,0.2,9.6
0.3,0.2,9.6
0.3,0.2,9.6
0.3,0.2,9.6
0.3,0.2,9.5
0.3,0.2,9.581249999999999
0.3,0.2,9.5
0.2374999999999986,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.5
0.2,0.2,9.6
0.2,0.2,9.6
0.2,0.2,9.6
0.2823529411764698,0.2,9.6
0.3,0.1,9.6
0.3,0.176470588235294,9.676470588235293
0.3,0.1,9.6
0.3,0.1,9.662500000000001
0.3823529411764703,0.1,9.7
0.4,0.1,9.7
0.4,0.1,9.7
0.4,0.1,9.741176470588236
0.4,0.1,9.8
0.4823529411764724,0.1,9.8
0.5,0.1,9.8
0.5,0.1,9.8
0.5,0.1,9.8
0.5625000000000013,0.1,9.8
0.6,0.1,9.8
0.6,0.1,9.899999999999997
0.6,0.1,9.823529411764708
0.6,0.1,9.9
0.6,0.1,9.9
0.6,0.1,9.9
0.6,0.1,9.9
0.6,0.1,9.9
0.6,0.1,9.9
0.6,0.1,9.9
0.6,0.1,9.9
0.6,0.1,9.9
0.6,0.1,9.918750000000001
0.6,0.1,10.0
0.6,0.1,10.0
0.6,0.1,10.0
0.5,0.1,10.0
0.5,0.023529411764706035,10.0
0.5,0.05882352941176379,10.0
0.5,0.0,10.0
0.5,0.0,10.0
0.5,0.0,10.0
0.476470588235294,0.0,10.0
0.4411764705882362,0.0,10.0
0.4374999999999986,0.0,10.0
0.4,0.0,10.0
0.4,0.0,10.0
0.4,0.0,10.0
0.4,0.0,10.0
0.4,0.0,10.0
0.4,0.0,10.0
0.4,0.0,10.0
0.376470588235294,0.0,10.0
0.3,0.0,10.0
0.3,0.0,10.0
0.3,0.0,10.0
0.3,0.0,10.0
0.3,0.0,10.0
0.3,0.0,10.0
0.3,0.0,10.0
0.3,0.0,10.0
0.3,0.0,9.9
0.3,0.0,9.976470588235292
0.3,0.0,9.941176470588232
0.3,0.0,9.937500000000002
0.21764705882353064,0.0,9.982352941176469
0.3,0.1,9.9
0.2,0.0,9.9
0.2,0.0,9.9
0.2,0.0,9.9
0.2,0.08235294117647028,9.9
0.2,0.0,9.9
0.2,0.0,9.9
0.2,0.04117647058823468,9.9
0.2,0.03749999999999584,9.9
0.2,0.08235294117647028,9.9
0.2,0.1,9.9
0.2,0.0,9.9
0.2,0.04117647058823776,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.9
0.2411764705882347,0.1,9.9
0.23749999999999583,0.1,9.9
0.2,0.1,9.9
0.2,0.1,9.8
0.22352941176470403,0.1,9.9
0.3,0.1,9.858823529411763
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.3,0.1,9.8
0.34117647058823775,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.8
0.4,0.1,9.862499999999999
0.4,0.1,9.817647058823527
0.4,0.1,9.8
0.4,0.2,9.8
0.44117647058823467,0.15882352941176534,9.8
0.43749999999999584,0.16250000000000417,9.862500000000004
0.4,0.2,9.81764705882353
0.4,0.2,9.800000000000006
0.4,0.176470588235292,9.876470588235293
0.44117647058823256,0.14117647058823254,9.8
