x,y,z
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.1,9.98235294117647
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.12352941176470589,9.9
0.0,-0.2,9.9
0.0,-0.1375,9.9
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.1,9.9
0.0,-0.14117647058823543,9.858823529411765
0.0625,-0.2,9.8
0.01764705882352942,-0.2,9.882352941176471
0.0,-0.2,9.9
0.0,-0.2,9.876470588235295
0.0,-0.2,9.8
0.0,-0.2,9.8625
0.0,-0.2,9.735294117647058
0.1,-0.2,9.9
0.0,-0.2,9.952941176470588
0.0,-0.2,9.8
0.0,-0.2,9.8625
0.0,-0.2,9.9
0.0,-0.2,9.8
0.0,-0.2,9.823529411764707
0.0,-0.2,9.9
0.0,-0.2,9.775
0.0,-0.2,9.782352941176471
0.0,-0.2,9.8
0.0,-0.2,9.876470588235295
0.0,-0.2,9.841176470588236
0.0,-0.2,9.9
0.0,-0.2,9.9
0.0,-0.2,9.9
0.023529411764706538,-0.2,9.876470588235295
0.1,-0.2,9.758823529411766
0.037500000000000006,-0.2,9.7625
0.0,-0.2,9.717647058823529
0.0,-0.2,9.8
0.0,-0.2,9.823529411764707
0.0,-0.2,9.9
0.0,-0.2,9.9
0.0,-0.2,9.735294117647058
0.0,-0.2,10.0
0.0,-0.2,9.8
0.0,-0.2,9.7625
0.0,-0.2,9.7625
0.0,-0.2,9.8
0.0,-0.2,9.8
0.0,-0.2,9.8
0.0,-0.2,9.8
0.0,-0.2,9.8
0.0,-0.2,9.882352941176471
0.0,-0.2,9.9
0.0,-0.2,10.076470588235294
0.0,-0.2,10.0
0.5,-0.1375,6.625
0.8,-0.1,4.6
-0.1,0.0,11.3
-0.04705882352941207,-0.22352941176470603,11.941176470588227
0.04705882352941412,-0.3411764705882357,9.01176470588237
0.4,-0.4,11.6
-0.42352941176471126,-0.4,11.023529411764702
0.39999999999999447,-0.2,8.500000000000025
-0.02352941176470573,-0.2,10.276470588235295
-0.1411764705882349,-0.2411764705882349,10.44705882352941
-0.012499999999999983,-0.3,9.8625
0.1,-0.3,9.3
0.0,-0.2,9.1
0.023529411764706035,-0.3,10.611764705882353
0.05882352941176432,-0.3,9.958823529411765
0.0625,-0.3,9.4
-0.06470588235294225,-0.2176470588235289,10.170588235294124
0.1,-0.3,9.4
0.0,-0.27647058823529397,10.129411764705882
-0.0437500000000007,-0.2437500000000007,9.9875
0.029411764705884497,-0.3,9.647058823529404
0.1,-0.3,9.4
-0.09411764705882415,-0.29411764705882415,10.358823529411769
0.0,-0.22352941176470573,9.676470588235293
0.0,-0.2562500000000007,9.643749999999999
0.0,-0.26470588235294096,9.764705882352942
-0.08235294117647113,-0.3,10.211764705882356
-0.2,-0.3,10.2
-0.1294117647058819,-0.2,9.905882352941175
0.14117647058823568,-0.15882352941176434,10.217647058823534
0.1375,-0.35,10.5375
0.1,-0.5,10.2
0.29999999999999444,1.3877787807814445e-15,9.399999999999983
-0.1,0.05294117647058855,8.311764705882352
-0.1411764705882349,-0.1411764705882349,10.070588235294107
0.17500000000000004,-0.07500000000000001,9.7875
0.07058823529411978,-0.08235294117647006,8.782352941176471
0.3,-0.1,9.7
-0.023529411764706035,-0.07647058823529397,9.311764705882352
-0.017647058823527573,-0.08235294117647243,9.647058823529433
0.03749999999999862,-0.07499999999999724,9.999999999999979
-0.16470588235294056,-0.08235294117647028,10.552941176470584
0.1,-0.1,9.7
0.0,-0.07647058823529397,9.370588235294118
0.0,-0.041176470588236216,9.847058823529418
-0.06250000000000139,-0.1,10.262500000000001
-0.017647058823527573,-0.1,9.97058823529411
0.0,-0.1,9.4
0.0,-0.1,9.647058823529411
-0.041176470588236216,-0.1,9.92352941176471
-0.03749999999999862,-0.1,9.974999999999998
0.0,-0.1,9.9
0.0,-0.1,9.529411764705893
0.0,-0.1,10.070588235294116
0.0,-0.1,10.258823529411767
0.05882352941176378,-0.1,9.90588235294118
0.1,-0.1,9.943749999999998
0.0882352941176483,0.0,9.929411764705879
-0.052941176470587936,0.0,10.28235294117647
0.1,0.0,9.776470588235295
0.03750000000000139,0.0,9.350000000000005
0.16470588235293965,0.0,9.529411764705879
0.0,0.0,9.917647058823528
0.023529411764706035,0.0,10.035294117647057
0.1,0.0,9.582352941176472
0.1,-0.06250000000000139,9.7
0.1,-0.017647058823529724,9.94705882352941
0.1,-0.005882352941175856,10.011764705882351
0.1,-0.07647058823529397,10.152941176470588
0.1,0.0,9.876470588235291
0.1,0.0,9.637499999999998
0.1,0.0,9.6
0.0,0.0,10.3
0.023529411764706035,0.0,9.958823529411763
0.05882352941176379,0.0,9.417647058823528
0.0,0.0,9.487500000000004
0.0,0.0,10.094117647058834
0.0,0.0,10.164705882352928
0.0,0.0,9.576470588235294
0.0,0.0,9.587499999999995
0.0,0.0,9.894117647058819
0.0,0.0,10.08235294117647
0.0,0.0,9.71176470588235
0.023529411764706035,0.023529411764706035,9.876470588235295
0.058823529411764865,0.058823529411764865,9.923529411764706
0.06249999999999861,0.06249999999999861,9.975000000000003
-0.06470588235293964,0.1,9.98235294117647
-0.09411764705882415,0.1,9.994117647058824
0.0,0.1,9.876470588235295
-0.041176470588236216,0.1,9.964705882352945
-0.1,0.03749999999999862,10.074999999999998
-0.017647058823529724,0.08235294117647028,9.670588235294119
-0.005882352941175856,0.09411764705882415,9.717647058823527
-0.07647058823529397,0.0,10.0
0.0,0.0,10.0
0.0,0.0,9.870588235294116
0.0,0.0,9.8
0.0,0.0,9.811764705882357
0.0,0.0,9.976470588235294
0.0,0.0,9.9
0.0,0.0,9.9
0.0,0.0,9.817647058823528
0.0,0.0,9.8
0.0,0.0,9.847058823529416
0.0,0.0,9.917647058823533
0.0,0.0,9.7375
0.0,0.0,9.86470588235294
0.0,0.0,9.905882352941177
0.0,0.0,9.976470588235294
0.0,0.0437500000000007,9.943750000000001
0.0,0.1,9.935294117647059
0.0,0.1,9.81764705882353
0.1,0.1,10.0
0.07647058823529397,0.1,9.976470588235294
0.041176470588236216,0.1,9.858823529411763
0.1,0.1,9.674999999999997
0.1,0.1,9.6
0.09411764705882415,0.1,9.617647058823527
0.0,0.1,9.876470588235295
0.0,0.05624999999999931,9.8
0.06470588235294225,0.06470588235294225,9.541176470588232
0.1,0.017647058823527573,9.894117647058835
0.1,0.0,10.2
0.1,0.023529411764706035,10.105882352941176
0.1,0.05624999999999931,9.887500000000001
0.1,0.06470588235294225,9.805882352941174
0.017647058823527573,0.017647058823527573,10.02941176470589
0.09411764705882154,0.0,9.905882352941179
0.0,0.0,9.976470588235292
0.0,0.0,9.858823529411767
0.0,0.0,9.7375
0.08235294117646982,0.0,9.86470588235294
0.0,0.0,10.0
