timestamp_ms,x,y,z
1779258903634,0.2000,0.1000,9.9000
1779258903651,0.2000,0.1000,9.9000
1779258903668,0.2000,0.2000,9.9000
1779258903684,0.2000,0.1000,9.9000
1779258903700,0.2000,0.2000,9.9000
1779258903717,0.2000,0.2000,9.9000
1779258903734,0.2000,0.2000,9.9000
1779258903751,0.2000,0.2000,9.8000
1779258903774,0.2000,0.2000,9.8000
1779258903784,0.2000,0.2000,9.8000
1779258903801,0.2000,0.2000,9.8000
1779258903817,0.2000,0.2000,9.8000
1779258903834,0.2000,0.2000,9.8000
1779258903850,0.2000,0.2000,9.8000
1779258903867,0.3000,0.2000,9.7000
1779258903888,0.3000,0.2000,9.7000
1779258903901,0.3000,0.2000,9.8000
1779258903917,0.3000,0.2000,9.7000
1779258903934,0.3000,0.2000,9.7000
1779258903950,0.3000,0.2000,9.7000
1779258903967,0.3000,0.2000,9.7000
1779258903984,0.4000,0.2000,9.7000
1779258904000,0.4000,0.2000,9.7000
1779258904017,0.4000,0.2000,9.7000
1779258904034,0.4000,0.2000,9.7000
1779258904050,0.4000,0.2000,9.7000
1779258904067,0.4000,0.2000,9.7000
1779258904084,0.4000,0.2000,9.7000
1779258904100,0.4000,0.1000,9.7000
1779258904117,0.4000,0.1000,9.7000
1779258904140,0.4000,0.2000,9.7000
1779258904150,0.4000,0.1000,9.7000
1779258904167,0.4000,0.1000,9.7000
1779258904184,0.4000,0.1000,9.7000
1779258904200,0.4000,0.1000,9.7000
1779258904217,0.4000,0.1000,9.7000
1779258904234,0.4000,0.1000,9.6000
1779258904250,0.4000,0.1000,9.6000
1779258904267,0.4000,0.1000,9.6000
1779258904284,0.4000,0.1000,9.6000
1779258904300,0.4000,0.1000,9.6000
1779258904317,0.4000,0.1000,9.6000
1779258904334,0.4000,0.1000,9.6000
1779258904350,0.4000,0.1000,9.6000
1779258904367,0.4000,0.1000,9.5000
1779258904384,0.4000,0.1000,9.6000
1779258904400,0.4000,0.1000,9.6000
1779258904417,0.4000,0.1000,9.5000
1779258904434,0.4000,0.1000,9.6000
1779258904451,0.4000,0.1000,9.6000
1779258904467,0.4000,0.1000,9.5000
1779258904484,0.4000,0.1000,9.5000
1779258904500,0.4000,0.1000,9.5000
1779258904517,0.4000,0.1000,9.5000
1779258904534,0.4000,0.1000,9.5000
1779258904550,0.4000,0.1000,9.5000
1779258904567,0.4000,0.1000,9.5000
1779258904584,0.5000,0.1000,9.6000
1779258904600,0.4000,0.1000,9.6000
1779258904619,0.5000,0.1000,9.6000
1779258904634,0.5000,0.1000,9.7000
1779258904650,0.5000,0.1000,9.6000
1779258904667,0.5000,0.1000,9.7000
1779258904684,0.5000,0.1000,9.7000
1779258904700,0.5000,0.1000,9.7000
1779258904717,0.5000,0.1000,9.7000
1779258904734,0.5000,0.1000,9.7000
1779258904751,0.5000,0.1000,9.8000
1779258904767,0.5000,0.1000,9.8000
1779258904784,0.5000,0.1000,9.8000
1779258904804,0.5000,0.1000,9.8000
1779258904817,0.5000,0.1000,9.8000
1779258904834,0.5000,0.1000,9.8000
1779258904850,0.5000,0.1000,9.9000
1779258904867,0.5000,0.1000,9.9000
1779258904884,0.5000,0.1000,9.9000
1779258904900,0.4000,0,9.9000
1779258904917,0.4000,0,9.9000
1779258904934,0.4000,0,9.9000
1779258904950,0.4000,0.1000,9.9000
1779258904967,0.4000,0.1000,9.9000
1779258904984,0.4000,0,9.9000
1779258905000,0.4000,0,10.0000
1779258905017,0.3000,0,10.0000
1779258905034,0.3000,0.1000,10.0000
1779258905050,0.3000,0,10.0000
1779258905067,0.2000,0,10.0000
1779258905084,0.2000,0,10.0000
1779258905100,0.2000,0,10.0000
1779258905118,0.2000,0,10.1000
1779258905134,0.2000,0,10.1000
1779258905151,0.1000,0.1000,10.1000
1779258905167,0.1000,0.1000,10.1000
1779258905184,0.1000,0,10.3000
1779258905200,0.1000,0,10.1000
1779258905217,0,0,10.3000
1779258905234,0,0,10.2000
1779258905250,0,0,10.2000
1779258905267,-0.1000,0,10.2000
1779258905284,0,0,10.3000
1779258905300,-0.1000,0,10.3000
1779258905317,-0.1000,0,10.2000
1779258905334,-0.1000,0,10.4000
1779258905351,-0.2000,0,10.3000
1779258905367,-0.2000,0,10.3000
1779258905384,-0.2000,0,10.3000
1779258905400,-0.1000,0,10.3000
1779258905417,-0.2000,0,10.3000
1779258905434,-0.2000,0,10.3000
1779258905450,-0.2000,0,10.2000
1779258905467,-0.2000,0,10.3000
1779258905484,-0.2000,0,10.3000
1779258905500,-0.2000,0,10.2000
1779258905517,-0.2000,0,10.3000
1779258905534,-0.2000,0,10.3000
1779258905550,-0.2000,0,10.2000
1779258905567,-0.2000,0,10.3000
1779258905584,-0.2000,0,10.2000
1779258905600,-0.2000,0,10.1000
1779258905617,-0.2000,0,10.0000
1779258905634,-0.2000,0,10.2000
1779258905650,-0.3000,0,10.1000
1779258905667,-0.2000,0,10.0000
1779258905684,-0.2000,0,10.1000
1779258905700,-0.2000,0,9.9000
1779258905717,-0.2000,0,10.1000
1779258905734,-0.2000,0,9.9000
1779258905750,-0.2000,0,9.9000
1779258905767,-0.2000,0,10.0000
1779258905784,-0.1000,0,9.8000
1779258905800,-0.1000,0.1000,9.9000
1779258905817,-0.1000,0.1000,9.8000
1779258905834,-0.1000,0.1000,9.8000
1779258905850,-0.1000,0.1000,9.8000
1779258905871,0,0.1000,9.8000
1779258905884,0,0.1000,9.8000
1779258905900,0,0.1000,9.7000
1779258905917,0,0.1000,9.7000
1779258905934,0,0.1000,9.8000
1779258905950,0,0.1000,9.7000
1779258905967,0.1000,0.1000,9.7000
1779258905984,0.1000,0.1000,9.7000
1779258906000,0.1000,0.2000,9.7000
1779258906017,0.1000,0.1000,9.7000
1779258906034,0.2000,0.2000,9.7000
1779258906050,0.2000,0.2000,9.6000
1779258906067,0.2000,0.2000,9.6000
1779258906084,0.2000,0.2000,9.6000
1779258906100,0.2000,0.2000,9.6000
1779258906117,0.3000,0.2000,9.6000
1779258906134,0.3000,0.2000,9.6000
1779258906150,0.3000,0.2000,9.6000
1779258906167,0.3000,0.2000,9.6000
1779258906184,0.3000,0.2000,9.6000
1779258906200,0.3000,0.2000,9.6000
1779258906218,0.3000,0.2000,9.6000
1779258906234,0.3000,0.2000,9.5000
1779258906251,0.3000,0.2000,9.6000
1779258906267,0.3000,0.2000,9.5000
1779258906284,0.3000,0.2000,9.5000
1779258906300,0.2000,0.2000,9.5000
1779258906317,0.2000,0.2000,9.5000
1779258906334,0.2000,0.2000,9.5000
1779258906350,0.2000,0.2000,9.5000
1779258906367,0.2000,0.2000,9.5000
1779258906384,0.2000,0.2000,9.5000
1779258906400,0.2000,0.2000,9.5000
1779258906417,0.2000,0.2000,9.5000
1779258906434,0.2000,0.2000,9.5000
1779258906450,0.2000,0.2000,9.5000
1779258906467,0.2000,0.2000,9.5000
1779258906484,0.2000,0.2000,9.5000
1779258906500,0.2000,0.2000,9.5000
1779258906517,0.2000,0.2000,9.5000
1779258906534,0.2000,0.2000,9.5000
1779258906550,0.2000,0.2000,9.6000
1779258906567,0.2000,0.2000,9.6000
1779258906584,0.2000,0.2000,9.6000
1779258906600,0.2000,0.2000,9.6000
1779258906617,0.3000,0.2000,9.6000
1779258906634,0.3000,0.1000,9.6000
1779258906650,0.3000,0.2000,9.7000
1779258906667,0.3000,0.1000,9.6000
1779258906684,0.3000,0.1000,9.6000
1779258906700,0.3000,0.1000,9.7000
1779258906717,0.4000,0.1000,9.7000
1779258906734,0.4000,0.1000,9.7000
1779258906750,0.4000,0.1000,9.7000
1779258906767,0.4000,0.1000,9.7000
1779258906784,0.4000,0.1000,9.8000
