timestamp_ms,accel_x,accel_y,accel_z
8,102,108,-3990
28,76,113,-3994
48,91,106,-3998
68,92,92,-3993
88,85,115,-3992
108,118,119,-4000
128,88,113,-4006
148,90,112,-4003
168,101,97,-3993
188,100,108,-4008
208,93,105,-3993
228,105,109,-3995
248,95,102,-4005
268,93,114,-3989
288,97,111,-4000
308,96,107,-3987
328,91,112,-4013
348,92,111,-4000
368,109,125,-3989
388,95,110,-3996
408,98,110,-4008
428,97,103,-4003
448,91,115,-4007
468,97,118,-4011
488,100,106,-3998
508,101,116,-3996
528,76,117,-4000
548,95,110,-3994
568,109,61,-3999
588,90,126,-3963
608,101,109,-3993
628,107,120,-4000
648,86,113,-4013
668,95,109,-3997
688,85,117,-4006
708,99,113,-4011
728,96,103,-3999
748,93,112,-4012
768,94,112,-4005
788,91,106,-3996
808,95,118,-4012
828,84,106,-4004
848,97,118,-3990
868,92,112,-3993
888,102,126,-3999
908,89,112,-4009
928,90,117,-3989
948,86,118,-3999
968,90,116,-4018
988,92,117,-3998
1008,97,112,-3999
1028,102,112,-3998
1048,98,103,-4001
1068,97,114,-3996
1088,92,107,-3993
1108,88,111,-4006
1128,89,108,-4004
1148,102,119,-3991
1168,104,115,-4002
1188,95,123,-3996
1208,92,116,-4011
1228,98,109,-3997
1248,97,110,-4003
1268,96,113,-3996
1288,109,120,-3999
1308,93,107,-3994
1328,97,112,-4007
1348,110,101,-3984
1368,95,109,-4006
1388,95,117,-4018
1408,104,120,-3990
1428,97,101,-4003
1448,93,117,-4008
1468,90,114,-3989
1488,93,115,-4003
1508,92,112,-4004
1528,95,105,-4007
1548,100,121,-4004
1568,93,104,-3996
1588,88,118,-4009
1608,103,118,-4007
1628,87,111,-3988
1648,94,110,-3997
1668,82,110,-4000
1689,106,133,-3982
1708,98,109,-3994
1759,89,108,-4014
1760,87,107,-4019
1768,93,119,-4001
1788,87,110,-4000
1808,108,124,-4011
1828,99,106,-4005
1848,90,116,-3997
1870,101,104,-3995
1888,100,113,-3983
1908,97,109,-3997
1928,88,108,-4006
