timestamp_ms,accel_x,accel_y,accel_z
4983,3976,-96,-1231
5003,3968,-102,-1219
5023,3949,-110,-1219
5043,3921,-107,-1214
5063,3964,-94,-1224
5083,3966,-93,-1233
5103,3971,-98,-1217
5123,3960,-105,-1214
5143,3937,-111,-1197
5163,3928,-114,-1196
5183,3947,-107,-1214
5203,3992,-88,-1215
5223,3982,-96,-1207
5243,3955,-100,-1204
5263,3939,-114,-1204
5283,3930,-100,-1203
5303,3968,-96,-1208
5323,3988,-92,-1215
5343,3969,-103,-1212
5363,3951,-111,-1202
5383,3933,-123,-1190
5403,3941,-111,-1194
5423,3976,-99,-1198
5443,3980,-82,-1216
5463,3987,-96,-1212
5483,3956,-109,-1200
5503,3916,-128,-1205
5523,3957,-97,-1168
5543,3978,-109,-1167
5563,3993,-91,-1170
5583,3992,-89,-1182
5603,3943,-92,-1174
5623,3943,-102,-1192
5643,3963,-101,-1182
5663,3991,-96,-1189
5683,3999,-92,-1181
5703,3968,-94,-1169
5723,3963,-102,-1150
5743,3942,-99,-1160
5763,3961,-96,-1161
5783,3987,-91,-1173
5803,3981,-99,-1170
5823,3983,-100,-1160
5843,3965,-91,-1148
5863,3951,-99,-1152
5883,4001,-88,-1149
5903,4001,-80,-1162
5923,3992,-89,-1170
5943,3973,-108,-1152
5963,3954,-103,-1153
5983,3971,-95,-1140
6003,3988,-85,-1150
6023,4006,-98,-1157
6043,3999,-101,-1145
6063,3968,-118,-1144
6083,3952,-113,-1155
6103,3974,-101,-1142
6123,4001,-93,-1158
6143,3992,-105,-1152
6163,3983,-97,-1157
6183,3957,-115,-1128
6203,3945,-103,-1133
6223,3960,-103,-1152
6243,4012,-80,-1152
6263,3997,-89,-1157
6283,3980,-110,-1148
6303,3947,-117,-1129
6323,3943,-118,-1154
6343,3982,-97,-1151
6363,3997,-89,-1140
6383,4008,-87,-1129
6403,3967,-102,-1132
6423,3955,-107,-1139
6443,3957,-112,-1130
6463,3990,-105,-1139
6483,4002,-80,-1139
6503,4009,-90,-1142
6523,3969,-106,-1130
6543,3947,-108,-1132
6563,3970,-103,-1120
6583,4006,-102,-1157
6603,4009,-97,-1130
6623,3990,-105,-1141
6643,3970,-114,-1110
6663,3954,-116,-1116
6683,3970,-89,-1133
6703,3990,-99,-1137
6723,4006,-100,-1150
6743,3983,-103,-1119
6763,3973,-113,-1120
6783,3954,-110,-1115
6803,3982,-100,-1121
6823,4002,-89,-1139
6843,3993,-89,-1132
6863,3988,-121,-1124
6883,3960,-117,-1118
6903,3981,-99,-1111
6923,3984,-84,-1129
6944,3993,-102,-1126
6963,3975,-48,-1096
6983,3985,-143,-1155
7003,3960,-110,-1119
7023,3988,-89,-1100
7043,4005,-97,-1084
7063,4017,-80,-1098
7083,3990,-109,-1090
7103,3968,-97,-1094
7123,3968,-96,-1087
7143,3976,-98,-1091
7163,4023,-80,-1094
7183,4031,-91,-1103
7203,4007,-102,-1088
7223,3969,-96,-1090
7243,3977,-102,-1091
7263,3983,-100,-1097
7283,4024,-88,-1096
7303,4016,-82,-1108
7323,3999,-101,-1099
7343,3978,-104,-1078
7363,3973,-92,-1084
7383,3997,-96,-1085
7403,4018,-95,-1085
7423,4028,-83,-1090
7443,3989,-108,-1083
7463,3970,-108,-1077
7483,3980,-106,-1071
7503,4002,-89,-1087
7523,4019,-88,-1092
7543,4014,-106,-1080
7563,4006,-97,-1078
7583,3963,-105,-1071
7603,3989,-109,-1069
7623,4022,-94,-1080
7643,4021,-101,-1087
7663,3990,-100,-1087
7683,3991,-96,-1072
7703,3982,-103,-1061
7723,3990,-103,-1080
7743,4018,-89,-1082
7763,4024,-91,-1092
7783,4008,-100,-1078
7803,3977,-111,-1069
7823,4004,-107,-1077
7843,4001,-91,-1075
7863,4025,-88,-1086
7883,4022,-100,-1090
7903,3994,-107,-1084
7923,3981,-106,-1066
7943,4002,-98,-1066
7963,4017,-102,-1062
7983,4020,-94,-1073
8003,4000,-103,-1072
8023,3997,-113,-1067
8043,3969,-116,-1063
8063,3986,-102,-1057
8083,4029,-74,-1073
8103,4024,-91,-1071
8123,4014,-104,-1088
8143,3988,-110,-1065
8163,3968,-123,-1054
8183,3983,-98,-1059
8203,4027,-94,-1069
8223,4012,-83,-1064
8243,4014,-106,-1064
8263,3983,-110,-1048
8283,3973,-107,-1062
8303,3990,-88,-1059
8323,4014,-86,-1072
8343,4046,-84,-1064
8363,3999,-107,-1060
8383,3982,-110,-1046
8403,3997,-100,-1064
8423,4014,-96,-1062
8443,4024,-96,-1084
8463,4016,-110,-1062
8483,4020,-104,-1055
8503,3994,-103,-1045
8523,3986,-110,-1048
8543,4020,-92,-1063
8563,4027,-90,-1066
8583,4018,-95,-1064
8603,4012,-106,-1044
8623,3982,-102,-1050
8643,3990,-105,-1047
8663,4021,-87,-1068
8683,4021,-90,-1065
8703,4015,-108,-1049
8723,3982,-118,-1043
8743,3997,-104,-1048
8763,3994,-96,-1054
8783,4020,-94,-1047
8803,4027,-105,-1069
8823,4001,-112,-1044
8843,3986,-103,-1052
8863,3998,-102,-1033
8883,4014,-91,-1048
8903,4028,-89,-1059
8923,4020,-100,-1059
8943,4011,-109,-1052
8963,3983,-113,-1041
8983,3994,-105,-1039
9003,4036,-87,-1050
9023,4027,-98,-1042
9043,4013,-90,-1049
9063,3993,-120,-1039
9083,3978,-115,-1029
9103,3987,-117,-1043
9123,4033,-79,-1062
9143,4036,-93,-1054
9163,4024,-114,-1044
9183,3994,-113,-1035
9203,3984,-113,-1022
9223,4006,-102,-1041
9243,4033,-97,-1051
9263,4052,-93,-1064
9283,4004,-106,-1036
9303,3982,-118,-1029
9323,3982,-105,-1019
9343,4007,-99,-1050
9363,4032,-103,-1045
9383,4032,-95,-1044
9403,3998,-112,-1043
9423,3977,-112,-1031
9443,3991,-100,-1032
9463,4020,-94,-1033
9483,4034,-89,-1044
9503,4018,-106,-1042
9523,4015,-115,-1025
9543,3987,-117,-1025
9563,4000,-105,-1026
9583,4023,-100,-1043
9603,4039,-97,-1039
9623,4017,-111,-1038
9643,3993,-113,-1022
9663,3995,-124,-1015
9683,4006,-99,-1036
9703,4023,-103,-1035
9723,4039,-95,-1043
9743,4019,-100,-1038
9763,3980,-119,-1019
9783,3996,-100,-1012
9803,4016,-96,-1022
9823,4020,-92,-1040
9843,4015,-98,-1031
9863,4014,-103,-1031
9883,3979,-119,-1031
9903,3987,-116,-1013
9923,4020,-91,-1024
9943,4035,-99,-1036
9963,4032,-105,-1040
9983,3998,-115,-1020
10003,3979,-120,-1017
10023,4005,-102,-1025
10043,4025,-95,-1029
10063,4040,-93,-1035
10083,4006,-114,-1031
10103,3997,-113,-1021
10123,3993,-124,-1016
10143,4002,-112,-1024
10163,4037,-93,-1029
10183,4043,-85,-1047
10203,4022,-109,-1018
10223,3997,-113,-1019
10243,3986,-110,-1017
10263,4003,-98,-1019
10283,4029,-102,-1027
10303,4052,-101,-1037
10323,4017,-116,-1019
10343,3993,-124,-1017
10363,3999,-114,-1003
10383,4006,-106,-1020
10403,4039,-98,-1027
10423,4032,-110,-1037
10443,4021,-106,-1016
10463,3987,-114,-1002
10483,3994,-113,-1019
10503,4020,-100,-1017
10523,4042,-100,-1023
10543,4030,-108,-1021
10563,4024,-105,-1017
10584,3990,-120,-1013
10603,3991,-119,-1003
10623,4025,-94,-1018
10643,4042,-99,-1025
10663,4009,-111,-1020
10683,3992,-123,-1013
10703,4003,-121,-1014
10723,4006,-107,-1010
10743,4023,-90,-1024
10763,4041,-98,-1031
10783,4015,-108,-1010
10803,3987,-121,-1004
10823,3997,-115,-1005
10843,4025,-101,-1010
10863,4042,-90,-1026
10883,4051,-108,-1023
10903,4011,-114,-1020
10923,3987,-117,-1009
10943,3995,-110,-1011
10963,4035,-101,-1011
10983,4032,-104,-1005
11003,4027,-110,-1011
11023,4009,-120,-1008
11043,3991,-112,-998
11063,3992,-114,-1012
11083,4022,-100,-1019
11103,4055,-86,-1014
11123,4032,-93,-1008
11143,3987,-119,-1003
11163,3988,-112,-1013
11183,4006,-102,-1007
11203,4032,-101,-1011
11223,4054,-96,-1012
11243,4021,-112,-1010
11263,3987,-129,-1000
11283,3998,-115,-993
11303,4018,-113,-1013
11323,4043,-96,-1030
11343,4042,-102,-1015
11363,4029,-104,-1008
11383,3991,-114,-996
11403,3994,-106,-1001
11423,4018,-100,-1013
11443,4044,-113,-1012
11463,4037,-93,-1011
11483,4027,-118,-1006
11503,4001,-124,-1004
11523,3998,-113,-1008
11543,4019,-97,-1008
11563,4045,-106,-1013
11583,4024,-116,-1001
11603,4018,-112,-998
11623,4009,-112,-993
11643,4003,-100,-1005
11663,4033,-87,-1003
11683,4046,-94,-1002
11703,4008,-112,-1006
11723,3989,-111,-993
11743,4002,-109,-988
11763,4002,-101,-994
11783,4034,-103,-1005
11803,4039,-105,-1008
11823,4027,-107,-997
11843,3990,-121,-990
11863,3997,-105,-997
11883,4025,-106,-999
11903,4034,-87,-1011
11923,4050,-100,-1007
11943,4017,-110,-989
11963,3986,-120,-992
11983,4009,-111,-999
12003,4016,-111,-1011
12023,4049,-100,-1005
12043,4042,-105,-995
12063,4001,-122,-992
12083,4008,-124,-986
12103,4013,-104,-993
12123,4027,-109,-1009
12143,4058,-93,-1002
12163,4014,-99,-997
12183,3993,-120,-984
12203,3990,-115,-994
12223,4015,-110,-995
12243,4032,-86,-1017
12263,4045,-97,-1003
12283,4033,-109,-1003
12303,4002,-113,-986
12323,4000,-114,-984
12343,4012,-106,-988
12363,4057,-99,-1005
12383,4041,-102,-1012
12403,4024,-111,-989
12423,4015,-113,-982
12443,3995,-115,-982
12463,4024,-102,-991
12483,4046,-100,-1002
12503,4048,-95,-999
12523,4010,-114,-980
12543,4013,-114,-974
12563,4013,-102,-994
12583,4029,-100,-978
12603,4054,-100,-1009
12623,4035,-103,-999
12643,4005,-120,-988
12663,4013,-116,-988
12683,4025,-98,-985
12703,4037,-96,-1006
12723,4046,-103,-1004
12743,4032,-104,-1001
12763,4010,-129,-986
12783,3987,-124,-979
12803,4021,-100,-992
12823,4043,-103,-987
12843,4044,-99,-1002
12863,4023,-115,-991
12883,3995,-119,-976
12903,3999,-110,-974
12923,4018,-109,-980
12943,4044,-101,-997
12963,4048,-98,-981
12983,4017,-118,-988
13003,4005,-122,-982
13023,3997,-113,-980
13043,4014,-103,-990
13063,4056,-99,-983
13083,4027,-110,-991
13103,4015,-117,-978
13123,3986,-120,-965
13143,4007,-116,-971
13163,4035,-97,-974
13183,4047,-104,-996
13203,4031,-107,-995
13223,4012,-122,-986
13243,3999,-114,-976
13263,4013,-106,-977
13283,4039,-106,-978
13303,4044,-105,-996
13323,4037,-109,-980
13343,4014,-109,-969
13363,4004,-118,-972
13383,4022,-112,-986
13403,4046,-111,-990
13423,4034,-105,-997
13443,4014,-110,-983
13463,4009,-114,-960
13483,4001,-111,-983
13503,4027,-109,-978
13523,4040,-102,-986
13543,4028,-99,-977
13563,4020,-125,-980
13583,4018,-126,-961
13603,4003,-129,-982
13623,4022,-102,-999
13643,4039,-102,-997
13663,4034,-104,-981
13683,4019,-124,-983
13703,4011,-118,-961
13723,4016,-117,-972
13743,4056,-102,-981
13763,4047,-95,-988
13783,4045,-115,-984
13803,4013,-121,-971
13823,4002,-127,-978
13843,4041,-105,-974
13863,4038,-112,-984
13883,4061,-100,-976
13903,4028,-117,-980
13923,4005,-128,-968
13943,4005,-121,-970
13963,4022,-110,-993
13983,4065,-85,-993
14003,4042,-99,-984
14023,4023,-109,-974
14043,3998,-126,-964
14064,3986,-118,-971
14084,4014,-108,-974
14103,4062,-104,-987
14123,4034,-103,-982
14143,4007,-124,-977
14163,4006,-129,-974
14183,4012,-116,-985
14203,4023,-103,-980
14223,4053,-97,-975
14243,4049,-111,-985
14263,4004,-116,-963
14283,4012,-126,-969
14303,4017,-118,-969
14323,4042,-99,-973
14343,4049,-99,-981
14363,4042,-118,-983
14383,4009,-116,-964
14403,4006,-122,-969
14423,4024,-110,-980
14443,4052,-100,-969
14463,4056,-111,-983
14483,4019,-114,-972
14503,4011,-119,-956
14523,4009,-118,-972
14543,4034,-114,-973
14563,4043,-106,-978
14583,4031,-108,-983
14603,4021,-123,-973
14623,3997,-116,-956
14643,4031,-118,-960
14663,4033,-101,-974
14683,4044,-102,-975
14703,4048,-105,-965
14723,4016,-117,-972
14743,4000,-117,-956
14763,4032,-105,-964
14783,4039,-106,-976
14803,4045,-104,-981
14823,4027,-111,-973
14843,4021,-123,-960
14863,3991,-122,-957
14883,4025,-118,-954
14903,4066,-100,-974
14923,4050,-98,-980
14943,4019,-127,-966
14963,3997,-138,-977
14983,3994,-126,-964
15003,4022,-110,-966
15023,4070,-90,-974
15043,4055,-102,-970
15063,4044,-105,-963
15083,4000,-112,-947
15103,4025,-117,-966
15123,4043,-106,-981
15143,4051,-101,-976
15163,4042,-109,-969
15183,4030,-114,-965
15203,4001,-118,-963
15223,4010,-116,-961
