timestamp_ms,accel_x,accel_y,accel_z
0,-123,20,-3993
20,24,72,-3994
40,41,84,-3978
60,42,91,-3984
80,33,82,-3985
100,53,83,-3997
120,34,89,-3988
140,38,72,-3980
160,50,98,-4002
180,27,79,-4000
200,38,92,-3997
220,32,86,-3998
240,45,79,-3988
260,51,77,-3995
280,21,95,-3989
300,47,86,-3963
320,129,59,-3983
340,14,23,-3995
360,82,89,-3987
380,-77,-221,-3949
400,159,26,-4003
420,28,132,-4012
440,264,252,-4034
460,-32,148,-3948
480,278,-272,-3625
500,48,-17,-3965
520,15,156,-4295
540,8,13,-3966
560,40,75,-4152
580,97,66,-3998
600,65,76,-4066
620,63,85,-4076
640,110,70,-3972
660,84,38,-3977
680,95,40,-3970
700,81,44,-3959
721,79,38,-3975
740,92,32,-3979
760,89,39,-3972
780,102,51,-3963
800,73,46,-3983
820,82,48,-3973
841,84,46,-4001
860,82,48,-3993
880,86,50,-3969
900,79,46,-3988
920,86,61,-4002
940,87,52,-3962
960,79,41,-3973
980,81,49,-4004
1000,88,53,-3977
1021,83,49,-3986
1040,83,42,-3994
1060,75,48,-3995
1080,85,55,-3999
1100,88,56,-3996
1120,82,49,-3985
1140,71,50,-3990
1160,83,51,-3978
1180,80,49,-3975
1200,94,55,-3962
1220,86,51,-3971
1240,94,46,-3970
1260,87,55,-3967
1281,89,52,-3965
1301,89,53,-3997
1320,88,57,-3988
1340,88,52,-3974
1360,94,62,-3992
1380,76,50,-3978
1400,81,51,-3995
1420,82,48,-3973
1440,86,57,-3993
1460,86,62,-3981
1480,71,53,-3989
1500,80,52,-3986
1520,87,51,-3982
1540,85,47,-3998
1560,90,34,-4000
1580,95,52,-3988
1600,90,42,-3982
1620,77,52,-3985
1640,95,43,-3986
1660,91,51,-3977
1680,93,52,-3978
1700,78,45,-3973
1720,94,65,-3990
1741,83,52,-3998
1760,73,42,-3990
1780,84,59,-3991
1800,73,46,-3979
1820,82,49,-3973
1840,88,50,-3975
1860,88,53,-3989
1880,79,57,-3990
1900,93,55,-3985
1920,77,53,-3990
1940,94,48,-3979
1960,80,43,-3987
1980,89,46,-3991
2000,86,47,-3988
2020,90,49,-3998
2040,79,61,-3984
2060,72,45,-3994
2080,84,40,-3992
2100,86,51,-3990
2120,62,35,-3975
2140,80,52,-3994
2161,56,61,-4001
2180,73,44,-4000
2200,85,43,-3986
2220,75,45,-3987
2240,94,51,-3976
2260,76,42,-3983
2280,78,32,-3997
2300,73,41,-3994
2320,87,54,-3994
2340,64,59,-3994
2360,85,53,-3992
2380,77,46,-3998
2400,69,43,-3993
2420,76,56,-3982
2440,71,44,-3991
2460,67,41,-3954
2480,77,55,-3979
2500,92,48,-4010
2520,84,57,-3992
