timestamp_ms,accel_x,accel_y,accel_z
0,263,47,-3952
19,141,-74,-4041
40,190,85,-4256
60,161,-117,-3983
80,143,-157,-3933
100,169,-89,-4021
780,-1,-492,-3947
780,-1,-492,-3947
781,-1,-492,-3947
781,25,-521,-3937
781,25,-521,-3937
782,25,-521,-3937
782,-7,-518,-3955
782,-7,-518,-3955
783,-7,-518,-3955
783,-7,-497,-3940
783,18,-497,-3940
784,18,-497,-3940
784,18,-497,-3940
784,19,-510,-3947
785,19,-510,-3947
785,19,-510,-3947
785,10,-505,-3967
786,10,-505,-3967
786,10,-505,-3967
786,34,-503,-3987
787,34,-503,-3987
787,34,-502,-4013
787,13,-502,-4013
788,13,-502,-4013
788,27,-493,-4018
789,27,-493,-4018
789,27,-493,-4018
789,25,-496,-4004
796,2,-496,-3949
797,31,-511,-4019
797,31,-511,-4019
798,31,-502,-4004
798,31,-502,-4004
798,31,-502,-4004
799,16,-503,-3953
820,-135,-435,-3233
839,170,-331,-4471
859,56,-493,-4211
879,-17,-516,-3610
899,67,-371,-4151
919,60,-438,-3982
939,19,-499,-4112
959,32,-497,-4145
979,-7,-473,-3904
999,35,-462,-4058
1019,37,-491,-4030
1039,-39,-517,-3837
1059,35,-490,-4040
1079,12,-493,-3989
1100,18,-489,-3975
1119,33,-475,-3979
1140,27,-495,-3966
1159,27,-486,-3997
1180,90,-569,-4035
1200,21,-495,-3993
1219,14,-499,-4002
1239,49,-486,-3963
1259,25,-488,-3953
1279,20,-499,-3967
1300,24,-496,-4001
1320,28,-497,-3979
1339,23,-487,-3956
1359,23,-495,-3987
1380,29,-488,-3957
1400,26,-490,-3972
1419,27,-487,-3970
1440,25,-488,-3983
1459,22,-486,-3980
1480,16,-493,-3993
1502,45,-492,-3985
1519,26,-492,-3991
1539,20,-490,-4025
1559,8,-486,-3984
1579,12,-488,-3971
1600,19,-486,-3967
1620,22,-499,-3988
1639,29,-489,-3977
1659,21,-498,-3985
1679,11,-500,-3973
1700,21,-492,-3972
1719,19,-499,-3975
1739,17,-489,-3999
1759,36,-479,-3974
1780,29,-488,-4030
1799,32,-446,-3862
1819,21,-471,-3757
1839,11,-501,-4224
1859,25,-507,-3948
1879,29,-484,-4003
1899,46,-469,-3987
1919,31,-484,-3954
1939,25,-473,-4010
1959,23,-475,-3915
1979,24,-489,-4055
2000,42,-464,-3920
2019,31,-471,-3971
2039,30,-492,-4069
2059,11,-470,-3921
2079,25,-474,-3965
2099,31,-491,-4044
2119,25,-462,-3949
2139,31,-473,-3992
2159,29,-471,-3987
2179,39,-461,-3919
2200,19,-477,-3996
2220,20,-494,-3985
2239,44,-464,-4006
2259,13,-480,-3946
2279,35,-476,-4019
2300,7,-467,-3938
2319,19,-475,-4026
2340,16,-494,-3992
2360,29,-486,-4025
2379,8,-484,-3983
2400,26,-474,-3976
2419,36,-469,-3988
2439,15,-490,-4022
