timestamp_ms,accel_x,accel_y,accel_z
17,211,-1,-3988
38,210,6,-4030
57,211,0,-4029
77,183,16,-4030
97,160,12,-4002
117,232,5,-3979
137,157,12,-3997
157,143,4,-4016
177,150,-12,-4047
197,151,-12,-4050
217,159,-10,-4026
237,182,5,-3994
257,148,-1,-4009
277,158,1,-4014
297,158,2,-4020
317,209,-4,-4046
337,164,-13,-4005
357,137,-6,-4003
377,152,-36,-3989
397,109,-13,-4001
417,245,-34,-4087
437,109,-9,-4043
458,254,7,-4239
477,208,152,-3705
497,336,-64,-3874
518,100,-51,-3725
537,-19,45,-4048
557,70,-38,-4076
577,72,-40,-4103
597,-58,-54,-3923
617,-4,-66,-3913
637,36,-54,-4080
657,32,-44,-4103
677,-4,-71,-4029
697,-144,-69,-4062
717,-100,-110,-3875
737,-74,-96,-3796
757,-93,81,-4270
777,-55,-137,-3895
797,-37,-45,-4139
817,-45,-63,-4064
837,-60,-103,-3988
857,-62,-52,-4025
877,-85,-75,-3990
897,-95,-88,-3961
917,-93,-60,-4002
938,-83,-66,-4023
957,-53,-77,-4028
977,-42,-76,-4026
998,-45,-82,-4032
1017,-71,-67,-4002
1037,-87,-79,-4005
1057,-90,-70,-3991
1077,-77,-63,-3994
1097,-63,-63,-3987
1117,-43,-49,-4007
1137,-54,-68,-4043
1157,-63,-66,-4024
1177,-72,-85,-4022
1197,-77,-89,-3994
1217,-70,-70,-3983
1237,-76,-63,-3991
1257,-54,-52,-4003
1277,-74,-68,-4020
1297,-56,-60,-4026
1318,-61,-77,-4026
1338,-67,-74,-3992
1357,-72,-88,-3993
1377,-89,-75,-4006
1397,-83,-59,-4027
1418,-88,-59,-4016
1437,-70,-62,-4013
1457,-61,-61,-3993
1478,-77,-83,-3999
1497,-69,-71,-4017
1517,-76,-60,-4016
1537,-74,-74,-4010
1557,-84,-92,-4007
1577,-78,-82,-4013
1597,-83,-77,-4012
1617,-69,-73,-4003
1637,-69,-69,-4015
1657,-52,-64,-4017
1677,-65,-80,-4011
1697,-72,-76,-4002
1717,-77,-84,-3988
1737,-80,-64,-4024
1757,-80,-72,-4029
1777,-69,-68,-4024
1797,-66,-85,-4007
1817,-60,-79,-3995
1837,-52,-82,-4002
1857,-63,-75,-4022
1877,-81,-65,-4016
1898,-96,-72,-4022
1917,-68,-68,-4010
1937,-63,-81,-4000
1958,-70,-90,-3993
1977,-67,-76,-4012
1997,-77,-83,-4012
2017,-84,-73,-4011
2037,-58,-61,-4019
2057,-70,-68,-3995
2077,-87,-68,-3994
2097,-92,-71,-3998
2117,-76,-63,-4018
2137,-85,-83,-4019
2157,-84,-84,-4023
2177,-50,-70,-3999
2197,-66,-76,-4011
2217,-68,-66,-4007
2237,-88,-67,-4024
2257,-87,-62,-4020
2277,-92,-85,-4004
2297,-59,-72,-4005
2317,-60,-81,-4023
2337,-73,-82,-3997
2357,-82,-76,-4026
2378,-80,-73,-4016
2397,-91,-84,-4000
2417,-69,-69,-4003
2438,-56,-66,-3994
2457,-82,-71,-4000
2477,-76,-82,-4005
2497,-68,-81,-4029
2517,-67,-64,-4031
2537,-76,-72,-4004
2557,-65,-69,-3998
2577,-81,-73,-4009
2597,-95,-56,-4010
2617,-77,-64,-4011
2637,-78,-77,-4032
2657,-82,-63,-4015
2677,-71,-84,-3998
2697,-53,-58,-4002
2717,-82,-89,-4010
2737,-89,-68,-4022
2757,-87,-73,-4017
2777,-85,-75,-4013
2797,-74,-83,-3995
2817,-67,-80,-4003
2837,-59,-60,-4006
2858,-61,-60,-4032
2877,-81,-69,-4020
2897,-78,-75,-4012
2918,-72,-88,-3995
2937,-76,-85,-3992
2957,-76,-74,-4003
2977,-93,-73,-4027
2997,-82,-77,-4018
3017,-75,-66,-4010
3037,-64,-81,-4005
3057,-73,-70,-4000
3077,-76,-76,-4017
3097,-74,-71,-4004
3117,-88,-70,-4006
3137,-88,-84,-4005
3157,-72,-65,-4000
3177,-70,-72,-4003
3197,-75,-73,-4010
3217,-67,-75,-4029
3237,-86,-83,-4022
3257,-80,-68,-4020
3277,-68,-84,-3995
3297,-80,-74,-3994
3317,-82,-72,-4008
3338,-84,-72,-4010
3357,-68,-65,-4012
3377,-73,-71,-4001
3398,-72,-82,-3997
3417,-74,-64,-4002
3437,-72,-81,-4011
3457,-77,-83,-4024
3477,-79,-64,-4034
3497,-75,-74,-4014
3517,-72,-67,-3994
3537,-82,-72,-3993
3557,-84,-69,-4008
3577,-80,-76,-4020
3597,-85,-75,-4038
3617,-68,-70,-4011
3637,-79,-67,-4008
3657,-65,-73,-4002
3677,-90,-83,-4001
3697,-89,-80,-4004
3717,-93,-74,-4022
3737,-73,-53,-4027
3757,-79,-75,-4011
3777,-76,-77,-4004
3797,-77,-69,-4001
3818,-88,-66,-4029
3837,-94,-58,-4020
3857,-80,-80,-4010
3878,-57,-76,-4000
3897,-71,-84,-4007
3917,-74,-71,-4006
3937,-81,-74,-4021
3957,-93,-68,-4017
3977,-98,-69,-4017
3997,-59,-62,-3993
4017,-73,-75,-3990
4037,-83,-74,-4006
4057,-85,-75,-4019
4077,-89,-68,-4026
4097,-91,-65,-4020
4117,-77,-75,-4006
4137,-63,-78,-3984
4157,-62,-65,-3992
4177,-90,-67,-4013
4197,-88,-78,-4022
4217,-79,-76,-4031
4237,-71,-88,-4008
4257,-65,-71,-4010
4277,-60,-64,-4005
4298,-78,-90,-4012
4317,-91,-69,-4023
4337,-96,-75,-4017
4358,-85,-76,-3995
4377,-80,-76,-3998
4397,-49,-62,-3994
4417,-72,-76,-4011
4437,-82,-69,-4018
4457,-78,-66,-4017
4477,-80,-78,-4007
4497,-76,-82,-3994
4517,-78,-80,-3989
4537,-73,-75,-4006
4557,-99,-67,-4021
4577,-86,-73,-4029
4597,-74,-69,-4011
4617,-79,-81,-4008
4637,-78,-76,-4015
4657,-82,-75,-4009
4678,-85,-84,-4020
4698,-78,-70,-4013
4718,-73,-76,-4012
4737,-63,-76,-4004
4757,-69,-80,-4003
4778,-83,-66,-4017
4797,-74,-72,-4037
4817,-92,-67,-4014
4838,-87,-80,-4017
4857,-75,-67,-4008
4877,-83,-82,-4002
4897,-78,-79,-4013
4917,-75,-67,-4020
4937,-73,-73,-4015
4957,-91,-74,-3997
4977,-85,-78,-4010
4997,-77,-91,-3998
5017,-78,-90,-4013
5037,-89,-75,-4026
5057,-72,-35,-3937
5077,289,-274,-3393
5097,6,-58,-3874
5117,-287,144,-4198
5137,-155,-148,-4165
5157,-237,-166,-4181
5177,-115,-95,-4059
5197,-80,-150,-4048
5217,-114,2,-4076
5237,-86,-51,-4000
5257,-90,-97,-3968
5277,-18,-102,-3929
5297,-107,-121,-4066
5318,-90,-60,-4058
5337,-99,-74,-4015
5357,-99,-69,-3961
5377,-69,-59,-3977
5397,-90,-62,-4038
5417,-70,-77,-4005
5437,-51,-69,-3972
5457,-92,-85,-4008
5477,-64,-69,-4024
