timestamp_ms,accel_x,accel_y,accel_z
0,-10,-15,-4049
19,-115,-7,-4075
39,39,30,-4099
59,-21,38,-4062
80,-90,17,-3995
100,-185,-69,-4060
120,-91,45,-4083
139,-76,13,-4044
159,-11,11,-4075
179,4,24,-4030
200,16,33,-4008
219,47,36,-4035
239,16,42,-4053
259,-239,-22,-4017
279,1,41,-4063
299,-4,12,-4002
319,50,52,-4018
339,73,33,-4051
360,37,33,-4051
380,42,55,-4025
400,47,38,-4021
419,48,56,-4028
439,62,63,-4019
459,96,88,-4025
479,102,79,-4019
499,98,63,-4007
519,102,75,-4022
539,98,86,-4041
559,2,196,-3953
579,217,-226,-3992
600,47,31,-3830
619,57,158,-4090
639,-27,56,-4172
659,-68,16,-4096
679,-84,100,-4056
699,-62,78,-4086
719,2,55,-4112
739,8,109,-4087
759,42,63,-4040
779,25,95,-4046
799,36,106,-4027
819,51,62,-4027
839,70,59,-4027
859,62,51,-4032
879,71,47,-4045
900,78,56,-4031
919,83,33,-4013
939,91,58,-4014
959,123,59,-3986
979,129,72,-3947
999,134,77,-3959
1019,117,73,-3957
1039,129,79,-4001
1059,146,97,-4023
1079,129,81,-3968
1100,167,96,-4008
1119,96,97,-4019
1139,74,181,-3990
1160,174,-324,-3857
1179,698,-1131,-3905
1199,263,-313,-3818
1219,799,-1178,-4271
1239,219,-19,-3986
1259,160,123,-3919
1280,290,-182,-3989
1299,240,-99,-3878
1319,135,-74,-3971
1339,211,-108,-4021
1359,202,-59,-3993
1379,209,-22,-4000
1400,196,-8,-3910
1419,168,-9,-3850
1439,168,49,-3953
1461,143,48,-4033
1479,129,36,-4036
1499,153,52,-4005
1519,105,80,-4009
1539,130,84,-4027
1559,124,96,-4061
1580,122,97,-4045
1600,104,87,-4055
1619,132,73,-4068
1639,121,96,-4063
1659,122,86,-4053
1679,110,73,-4039
1699,108,65,-4082
1719,103,86,-4088
1739,104,96,-4093
1760,109,102,-4074
1779,103,124,-4069
1799,32,209,-3967
1819,5,-54,-4203
1839,34,42,-4095
1859,-90,-5,-4236
1879,-100,-7,-4209
1899,-131,83,-4071
1919,-158,191,-4009
1939,-83,48,-4078
1959,-66,47,-4093
1979,-52,33,-4081
2000,-48,44,-4091
2019,-13,66,-4081
2040,-19,67,-4089
2060,-12,56,-4135
2080,2,49,-4162
2099,15,51,-4109
2119,43,73,-4071
2139,59,95,-4062
2159,60,82,-4052
2179,57,76,-4044
2199,72,78,-4064
2219,92,80,-4054
2239,103,78,-4053
2259,118,89,-4041
2279,133,80,-4016
2300,129,88,-3978
2319,140,93,-3963
2339,120,139,-3948
2359,149,96,-3964
2379,188,80,-3946
2399,141,73,-4018
2419,105,-41,-4046
2439,169,-24,-3963
2459,184,-76,-3931
2479,225,-84,-3870
2499,224,-52,-3838
2519,170,-47,-3889
2539,229,-17,-3918
2559,212,-11,-3920
2579,213,-6,-3911
2601,236,-8,-3984
2619,219,10,-3996
2639,226,7,-3984
2659,240,21,-3950
2679,228,45,-3952
2699,223,47,-3948
2719,219,33,-3940
2739,218,53,-3950
2759,215,48,-3995
2780,216,59,-4018
2799,218,64,-4014
2819,192,65,-4012
2839,152,-76,-4069
2859,147,-52,-4059
2879,165,39,-4068
2899,78,32,-4111
2919,101,57,-4027
2939,102,2,-4087
2960,3,3,-4114
2979,50,17,-3998
2999,34,-42,-4080
3019,52,-7,-4101
3039,44,6,-4078
3059,37,-15,-4042
3079,50,29,-4054
3099,67,20,-4061
3119,38,32,-4054
3139,44,17,-4069
3159,26,33,-4077
3179,35,35,-4108
3199,29,36,-4114
3219,32,28,-4104
3239,32,51,-4097
3259,43,50,-4076
3279,54,45,-4057
3299,50,38,-4053
3319,68,47,-4047
3339,40,27,-4063
3359,24,28,-4077
3379,38,20,-4070
3399,38,17,-4078
3419,30,16,-4074
3439,41,26,-4046
3459,286,150,-4053
3479,-148,-146,-3919
3500,-48,-12,-4043
3519,113,76,-4012
3539,144,99,-3918
3560,214,129,-3944
3579,219,137,-3977
3599,228,133,-4006
3619,211,109,-4007
3639,200,94,-4009
3659,207,114,-4004
3680,215,123,-4004
3700,221,101,-3966
3720,225,128,-3958
4432,130,95,-4063
4433,130,95,-4063
4433,130,95,-4044
4433,115,108,-4044
4433,115,108,-4044
4434,115,108,-4044
4434,92,104,-4034
4434,92,104,-4034
4435,92,104,-4034
4435,98,92,-4042
4435,98,92,-4042
4436,98,92,-4042
4436,130,69,-4059
4436,130,69,-4059
4437,130,69,-4059
4437,130,69,-4055
4437,130,77,-4055
4438,130,77,-4055
4438,130,77,-4046
4438,91,79,-4046
4439,91,79,-4046
4439,91,79,-4046
4441,127,77,-4056
4442,127,77,-4056
4443,91,78,-4058
4444,101,84,-4056
4445,101,84,-4056
4445,101,84,-4056
4445,113,80,-4054
4446,113,80,-4054
4446,113,80,-4054
4446,116,94,-4028
4447,116,94,-4028
4447,116,94,-4028
4449,96,94,-4016
4450,80,74,-4056
4460,110,89,-4052
4479,66,114,-4037
4499,109,91,-4031
4520,99,86,-4042
4539,89,74,-4014
4559,115,65,-4020
4579,97,67,-4054
4599,88,91,-4041
4619,111,66,-4046
4640,93,57,-4028
4659,93,51,-4021
4679,77,62,-4014
4700,67,52,-4030
4719,79,57,-4025
4739,71,56,-4045
4760,79,57,-4045
4779,57,17,-4063
4799,73,9,-4066
4820,48,15,-4042
4839,97,-649,-4051
4859,239,57,-3989
4879,153,230,-4144
4899,-242,168,-4230
4919,-66,89,-4048
4939,10,101,-4121
4959,16,123,-4213
4979,-33,160,-4152
5000,-1,167,-4088
5019,29,135,-4047
5039,6,152,-4108
5059,5,127,-4103
5079,5,123,-4090
5099,22,94,-4032
5119,13,209,-4015
5139,-17,389,-3966
5159,210,365,-3952
5179,295,187,-4084
5199,47,276,-4102
5219,45,143,-4095
5239,108,-26,-4045
5259,-12,3,-4034
5279,42,61,-3995
5299,85,-41,-4016
5319,26,-10,-4024
5339,55,6,-3992
5359,82,-25,-3962
5379,70,-3,-3944
5399,86,10,-3962
5419,67,-25,-3950
5439,62,-26,-3979
5459,72,-17,-3977
5479,62,-26,-3959
5499,62,-20,-3959
5519,56,-32,-3953
5540,81,-25,-3951
5559,82,-35,-3982
5579,34,-66,-3946
5599,327,48,-3910
5619,38,20,-3958
5639,101,60,-3985
5659,132,97,-3980
5679,119,130,-3978
5699,123,107,-4039
5720,147,93,-3995
5739,166,66,-3976
5760,133,104,-4002
5779,153,53,-3991
5799,145,43,-3979
5819,113,74,-4007
5840,112,52,-3996
5859,143,13,-4005
5879,99,52,-4007
5901,114,27,-4033
5919,107,19,-4046
5939,102,31,-4010
5959,108,36,-3999
5979,74,24,-4022
5999,80,18,-4014
6020,70,15,-4053
6039,60,-5,-4052
6059,56,16,-4054
6079,47,6,-4054
6099,46,4,-4044
6119,44,-4,-4035
6139,34,-4,-4029
6159,30,-15,-4051
6179,45,-11,-4040
6201,35,-22,-4048
6219,44,-35,-4064
6239,17,-29,-4058
6259,24,-86,-4330
6280,22,12,-4016
6299,-11,33,-4161
6319,56,78,-4023
6339,11,97,-4091
6359,-31,90,-4140
6379,10,115,-4118
6399,-54,169,-4176
6419,-13,152,-4013
6439,9,160,-4071
6459,14,91,-4061
6479,-19,75,-4165
6499,-10,83,-4077
6519,9,96,-4164
6539,32,46,-4115
6559,35,37,-4111
6579,68,33,-4073
6599,63,26,-4013
6619,78,24,-3988
6639,84,16,-3970
6659,90,6,-3955
6679,96,2,-3981
6699,115,-5,-4007
6719,98,-12,-4018
6740,111,-23,-4005
6759,106,-8,-4012
6779,106,-15,-4008
6799,113,-15,-3999
