timestamp_ms,x,y,z
1779258417939,0,-0.1000,9.9000
1779258417955,0,-0.1000,9.9000
1779258417972,0,-0.1000,9.9000
1779258417989,0,-0.1000,9.9000
1779258418005,0,-0.1000,9.9000
1779258418022,0,-0.1000,10.0000
1779258418039,0,-0.1000,9.9000
1779258418055,0,-0.1000,9.9000
1779258418072,0,-0.1000,9.9000
1779258418089,0,-0.1000,9.9000
1779258418105,0,-0.1000,9.9000
1779258418122,0,-0.1000,9.9000
1779258418139,0,-0.1000,9.9000
1779258418155,0,-0.1000,9.9000
1779258418172,0,-0.2000,9.9000
1779258418189,0,-0.2000,9.9000
1779258418205,0,-0.1000,9.9000
1779258418222,0,-0.1000,9.9000
1779258418239,0,-0.1000,9.9000
1779258418255,0,-0.1000,9.9000
1779258418272,0,-0.1000,9.9000
1779258418289,0,-0.2000,9.8000
1779258418305,0.1000,-0.2000,9.8000
1779258418322,0,-0.2000,9.9000
1779258418339,0,-0.2000,9.9000
1779258418355,0,-0.2000,9.9000
1779258418372,0,-0.2000,9.8000
1779258418389,0,-0.2000,9.8000
1779258418405,0,-0.2000,9.9000
1779258418422,0,-0.2000,9.7000
1779258418439,0.1000,-0.2000,9.9000
1779258418455,0,-0.2000,10.0000
1779258418472,0,-0.2000,9.8000
1779258418489,0,-0.2000,9.8000
1779258418505,0,-0.2000,9.9000
1779258418522,0,-0.2000,9.9000
1779258418539,0,-0.2000,9.8000
1779258418555,0,-0.2000,9.8000
1779258418572,0,-0.2000,9.9000
1779258418589,0,-0.2000,9.9000
1779258418605,0,-0.2000,9.7000
1779258418622,0,-0.2000,9.8000
1779258418639,0,-0.2000,9.8000
1779258418655,0,-0.2000,9.9000
1779258418672,0,-0.2000,9.8000
1779258418689,0,-0.2000,9.9000
1779258418705,0,-0.2000,9.9000
1779258418722,0,-0.2000,9.9000
1779258418739,0,-0.2000,9.9000
1779258418755,0,-0.2000,9.9000
1779258418772,0.1000,-0.2000,9.8000
1779258418789,0.1000,-0.2000,9.7000
1779258418805,0,-0.2000,9.8000
1779258418822,0,-0.2000,9.7000
1779258418839,0,-0.2000,9.8000
1779258418855,0,-0.2000,9.8000
1779258418872,0,-0.2000,9.9000
1779258418889,0,-0.2000,9.9000
1779258418905,0,-0.2000,9.9000
1779258418922,0,-0.2000,9.7000
1779258418939,0,-0.2000,10.0000
1779258418955,0,-0.2000,9.8000
1779258418973,0,-0.2000,9.8000
1779258418989,0,-0.2000,9.7000
1779258419005,0,-0.2000,9.8000
1779258419022,0,-0.2000,9.8000
1779258419039,0,-0.2000,9.8000
1779258419055,0,-0.2000,9.8000
1779258419072,0,-0.2000,9.8000
1779258419089,0,-0.2000,9.8000
1779258419105,0,-0.2000,9.8000
1779258419122,0,-0.2000,9.9000
1779258419139,0,-0.2000,9.9000
1779258419155,0,-0.2000,10.1000
1779258419172,0,-0.2000,10.0000
1779258419189,0,-0.2000,10.0000
1779258419205,0.8000,-0.1000,4.6000
1779258419222,0.8000,-0.1000,4.6000
1779258419239,-0.1000,0,11.3000
1779258419255,0,-0.2000,13.4000
1779258419272,-0.2000,-0.3000,7.2000
1779258419289,0.4000,-0.4000,11.6000
1779258419305,0.4000,-0.4000,11.6000
1779258419322,-0.6000,-0.4000,10.9000
1779258419339,0.4000,-0.2000,8.5000
1779258419355,0,-0.2000,10.3000
1779258419372,-0.1000,-0.2000,10.2000
1779258419389,-0.2000,-0.3000,10.8000
1779258419405,0.1000,-0.3000,9.3000
1779258419422,0.1000,-0.3000,9.3000
1779258419439,0,-0.2000,9.1000
1779258419455,0,-0.3000,10.8000
1779258419472,0.1000,-0.3000,10.0000
1779258419489,0,-0.3000,9.9000
1779258419505,0.1000,-0.3000,9.1000
1779258419522,-0.1000,-0.2000,10.4000
1779258419539,0.1000,-0.3000,9.4000
1779258419555,0,-0.3000,10.2000
1779258419572,0,-0.2000,9.9000
1779258419588,-0.1000,-0.3000,10.1000
1779258419605,0.1000,-0.3000,9.4000
1779258419622,0.1000,-0.3000,9.4000
1779258419638,-0.1000,-0.3000,10.4000
1779258419655,0,-0.2000,9.7000
1779258419672,0,-0.3000,9.6000
1779258419688,0,-0.2000,9.7000
1779258419705,0,-0.3000,9.8000
1779258419722,-0.1000,-0.3000,10.3000
1779258419739,-0.2000,-0.3000,10.2000
1779258419755,-0.2000,-0.2000,10.0000
1779258419772,0.1000,-0.2000,9.6000
1779258419789,0.2000,-0.1000,11.1000
1779258419805,0.1000,-0.5000,10.2000
1779258419822,0.1000,-0.5000,10.2000
1779258419839,0.3000,0,9.4000
1779258419855,-0.1000,0.1000,8.1000
1779258419872,-0.1000,-0.1000,9.0000
1779258419889,-0.2000,-0.2000,11.6000
1779258419905,0.4000,0,8.7000
1779258419922,0,-0.1000,8.8000
1779258419939,0.3000,-0.1000,9.7000
1779258419955,0,-0.1000,9.5000
1779258419972,-0.1000,0,8.7000
1779258419989,0.1000,-0.2000,11.0000
1779258420005,0,0,9.4000
1779258420022,-0.2000,-0.1000,10.8000
1779258420039,0.1000,-0.1000,9.7000
1779258420055,0,-0.1000,9.3000
1779258420072,0,0,9.6000
1779258420089,0,-0.1000,10.2000
1779258420105,-0.1000,-0.1000,10.3000
1779258420122,0,-0.1000,9.9000
1779258420139,0,-0.1000,9.4000
